Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,default,0.025,0.02,,,,,,,,,,
,,,,,,,,,,,,,
,,x,y,,,cov,0.025,,cov,0.005,,cov,0.045
,1,201.4,25.7-20,,,x,y,,,,,,
,2,201,20-14.1,,1.0,201.6,20-17.2,1.0,201.9,20-9.2,1.0,202.3,20-10.7
,3,201.4,22.2-20,,2.0,202,27.3-20,2.0,201.1,25.7-20,2.0,201.4,29.4-20
,4,201.5,20-9.9,,3.0,201.6,20-14.3,3.0,202.8,20-13.4,3.0,201.7,20-15.4
,5,200.9,33.4-20,,4.0,202.3,25.5-20,4.0,201.9,26.7-20,4.0,202,27.5-20
,6,201.3,20-10.9,,5.0,200.5,20-17.1,5.0,202.4,20-15.1,5.0,201.9,20-18.7
,7,200.4,29.2-20,,6.0,201.4,31.8-20,6.0,201.5,29.4-20,6.0,201.9,29.3-20
,8,201.2,20-7.6,,7.0,201.7,20-13,7.0,201.2,20-11.7,7.0,201.6,20-11.1
,9,199.8,36.9-20,,8.0,202,27.9-20,8.0,201.2,28.5-20,8.0,201.1,27.8-20
,10,200.9,20-10.8,,9.0,201.4,20-11.4,9.0,202,20-7.2,9.0,201.5,20-16.5
,11,201.6,20-10.2,,10.0,201.9,29-20,10.0,202.4,25.8-20,10.0,201.8,20-17.1
,12,201.7,27.4-20,,,,,,,,,,
,13,202,20-5.2,,,,,,,,,,
,14,201.2,28.8-20,,,,,,,,,,
,15,201.6,20-8.6,,,,,,,,,,
,16,201.6,31.1-20,,,,,,,,,,
,17,201.9,20-17.2,,,,,,,,,,
,18,201.6,33.6-20,,,,,,,,,,
,19,202.4,20-10.5,,,,,,,,,,
,20,201,20-17.0,,,,,,,,,,
,21,201.7,25-20,,,,,,,,,,
,22,201.5,20-16.9,,,,,,,,,,
,23,200.3,20-13.1,,,,,,,,,,
,24,201.8,33.3-20,,,,,,,,,,
,25,202,20-19.4,,,,,,,,,,
,26,201.4,20-13.0,,,,,,,,,,
,27,202.4,26.7-20,,,,,,,,,,
,28,200.3,20-12.9,,,,,,,,,,
,29,201.5,23.8-20,,,,,,,,,,
,30,201.1,20-12.1,,,,,,,,,,
